"id_meta","domain","analysis_label","study","is_meta","is_rct","study_design","outcome","population","rr","rr_lower","rr_upper","tau_sq","p","i_sq","effect_measure","rr_order","rr_lower_order","rr_upper_order","rob","rob_original","ab","ab_abbrev","ab_footnote","n_events_vax","n_vax","mean_vax","lower_vax","upper_vax","sd_vax","se_vax","n_events_unvax","n_unvax","mean_unvax","lower_unvax","upper_unvax","sd_unvax","se_unvax","te","lower","upper","notes"
54,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - Observational studies (unadjusted)","Gall 2011",0,0,"Observational (unadjusted)","Anti-FHA Ab (infant blood, birth)","Infant",3.888059701,2.293384157,6.59157263,,,,"ROM",2,3,2,"High","High","Anti-filamentous hemagglutinin","FHA",,,52,104.2,61.668,146.732,,21.7,,52,26.8,18.96,34.64,,4,1.357910242,0.830028525,1.885791959,
55,"Immunogenicity","Anti-FIM Ab (infant blood, birth) - Observational studies (unadjusted)","Healy 2013",0,0,"Observational (unadjusted)","Anti-FIM Ab (infant blood, birth)","Infant",1.050383352,0.429299485,2.570012834,,,,"ROM",1,1,1,"High","High","Anti-fimbriae","FIM",,,19,191.8,84.5,435.7,,,,86,182.6,127.7,261.2,,,0.049155194,-0.845600504,0.943910893,
55,"Immunogenicity","Anti-FIM Ab (infant blood, birth) - Observational studies (unadjusted)","Gall 2011",0,0,"Observational (unadjusted)","Anti-FIM Ab (infant blood, birth)","Infant",14.48055556,8.93819097,23.45961167,,,,"ROM",2,2,2,"High","High","Anti-fimbriae","FIM",,,52,1198.99,826.786,1571.194,,189.9,,52,82.8,54.2036,111.3964,,14.59,2.672806753,2.190333216,3.15528029,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Lima 2019",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",25.38202247,13.80417756,46.67044177,,,,"ROM",6,6,6,"Critical","Critical","Anti-pertactin","PRN",,,66,225.9,137.3,371.8,,,,101,8.9,6.3,12.7,,,3.234041147,2.624971268,3.843111026,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2022a",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",9.727569741,4.68319371,20.20535962,,,,"ROM",2,3,2,"Moderate","Moderate","Anti-pertactin","PRN",,,100,387.06,307,488.02,,,,17,39.79,19.89,79.58,,,2.274964095,1.543980294,3.005947897,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2022b",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",10.80754717,4.349988397,26.85135342,,,,"ROM",3,2,4,"Moderate","Moderate","Anti-pertactin","PRN",,,54,171.84,113.91,259.24,,,,6,15.9,7.06,35.81,,,2.380244702,1.470173178,3.290316226,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Abu Raya 2014a",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",15.29245283,6.136429162,38.10996712,,,,"ROM",5,4,5,"Unclear","Unclear","Anti-pertactin","PRN",,,61,162.1,120.4,218.2,,,,20,10.6,4.5,25.3,,,2.727359428,1.814243003,3.640475852,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2016",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",33.19047619,23.27824919,47.32347784,,,,"ROM",7,7,7,"Unclear","Unclear","Anti-pertactin","PRN",,,58,697,573,848,,,,41,21,15.5,28,,,3.502262973,3.147519413,3.857006533,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Healy 2013",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",1.678657074,0.728123515,3.870070827,,,,"ROM",1,1,1,"High","High","Anti-pertactin","PRN",,,19,70,32.5,150.5,,,,86,41.7,28.3,55,,,0.517994113,-0.317284582,1.353272808,
56,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - Observational studies (unadjusted)","Gall 2011",0,0,"Observational (unadjusted)","Anti-PRN Ab (infant blood, birth)","Infant",13.48178138,7.358113385,24.70177063,,,,"ROM",4,5,3,"High","High","Anti-pertactin","PRN",,,52,333,222.456,443.544,,56.4,,52,24.7,13.332,36.068,,5.8,2.601339246,1.995803566,3.206874926,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Abu Raya 2019a",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",3.518691589,2.532468419,4.888981203,,,,"ROM",4,5,5,"Moderate","Moderate","Anti-pertussis toxin","PT",,,43,75.3,61.2,92.9,,,,22,21.4,16.6,27.6,,,1.258089213,0.929194487,1.586983939,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Abu Raya 2019b",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",2.460747664,1.68812627,3.586982309,,,,"ROM",2,2,2,"Moderate","Moderate","Anti-pertussis toxin","PT",,,47,52.66,39.9,69.6,,,,22,21.4,16.6,27.6,,,0.900465232,0.523619198,1.277311266,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Fallo 2018",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",4.422413793,3.327370379,5.877837911,,,,"ROM",7,8,7,"Moderate","Moderate","Anti-pertussis toxin","PT",,,105,51.3,41.3,63.8,,,,99,11.6,9.7,14,,,1.486685654,1.202182316,1.771188992,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Healy 2018",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",3.666666667,3.158465195,4.256638467,,,,"ROM",5,6,4,"Moderate","Moderate","Anti-pertussis toxin","PT",,,312,47.3,42.1,53.2,,,,314,12.9,11.8,14.2,,,1.299282984,1.150086212,1.448479756,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Lima 2019",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",8.870967742,5.536845042,14.21279954,,,,"ROM",12,13,11,"Critical","Critical","Anti-pertussis toxin","PT",,,66,55,39.3,77.1,,,,101,6.2,4.5,8.7,,,2.182783893,1.711424852,2.654142935,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2022a",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",5.71437866,3.186922083,10.24628862,,,,"ROM",9,7,9,"Moderate","Moderate","Anti-pertussis toxin","PT",,,100,87.83,73.07,105.57,,,,17,15.37,8.83,26.75,,,1.74298557,1.159055587,2.326915554,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2022b",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",6.894356006,2.203455468,21.57163847,,,,"ROM",10,4,12,"Moderate","Moderate","Anti-pertussis toxin","PT",,,53,47.64,37.93,59.84,,,,6,6.91,2.26,21.13,,,1.930703107,0.790026795,3.071379418,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Vaz-de-Lima 2019",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",5.577639752,4.305925923,7.224942034,,,,"ROM",8,10,8,"Serious","Serious","Anti-pertussis toxin","PT",,,243,89.8,80.9,99.6,,,,75,16.1,12.7,20.4,,,1.718765703,1.459992196,1.977539211,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Sahoo 2024",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",4.3200883,3.555209672,5.249525244,,,,"ROM",6,9,6,"Critical","Critical","Anti-pertussis toxin","PT",,,30,117.42,100.11,134.74,46.38,,,162,27.18,23.77,30.59,21.98,,1.463275842,1.268414041,1.658137643,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Abu Raya 2014a",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",15.90178571,5.176545062,48.84856326,,,,"ROM",13,12,13,"Unclear","Unclear","Anti-pertussis toxin","PT",,,61,17.81,10.67,29.74,,,,20,1.12,0.41,3.02,,,2.766431412,1.644137857,3.888724967,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Maertens 2016",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",8.120967742,5.036910679,13.0933664,,,,"ROM",11,11,10,"Unclear","Unclear","Anti-pertussis toxin","PT",,,58,100.7,82,123,,,,41,12.4,8,19,,,2.094449327,1.616792934,2.572105721,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Healy 2013",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",1.035928144,0.629496384,1.704770903,,,,"ROM",1,1,1,"High","High","Anti-pertussis toxin","PT",,,19,17.3,11.1,26.8,,,,86,16.7,13.2,21,,,0.035297782,-0.46283517,0.533430734,
57,"Immunogenicity","Anti-PT Ab (infant blood, birth) - Observational studies (unadjusted)","Gall 2011",0,0,"Observational (unadjusted)","Anti-PT Ab (infant blood, birth)","Infant",2.561307902,1.740708948,3.768750759,,,,"ROM",3,3,3,"High","High","Anti-pertussis toxin","PT",,,52,28.2,22.712,33.688,,2.8,,52,11.01,7.482,14.538,,1.8,0.940518027,0.554292471,1.326743583,
58,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - RCTs","Nakabembe 2025a",0,1,"RCT","Anti-FHA Ab (infant blood, birth)","Infant",4.234285714,2.189887319,8.187259389,,,,"ROM",2,2,2,"Low","Low","Anti-filamentous hemagglutinin","FHA",,,40,74.1,44.3,124.2,,,,41,17.5,11.6,26.4,,,1.443214651,0.78385009,2.102579213,
58,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - RCTs","Nakabembe 2025b",0,1,"RCT","Anti-FHA Ab (infant blood, birth)","Infant",15.42285714,9.330307652,25.49374912,,,,"ROM",5,4,6,"Low","Low","Anti-filamentous hemagglutinin","FHA",,,50,269.9,186.5,390.6,,,,50,17.5,12.5,24.7,,,2.735850639,2.233267989,3.238433289,
58,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - RCTs","Perrett 2020",0,1,"RCT","Anti-FHA Ab (infant blood, birth)","Infant",16.1277533,13.49659656,19.27185312,,,,"ROM",6,6,4,"Some concerns","Some concerns","Anti-filamentous hemagglutinin","FHA",,,291,366.1,329,407.3,,,,292,22.7,19.7,26.2,,,2.780541596,2.602437547,2.958645644,
58,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - RCTs","Haidara 2024",0,1,"RCT","Anti-FHA Ab (infant blood, birth)","Infant",13.6443662,10.13633752,18.36646902,,,,"ROM",4,5,3,"Low","Low","Anti-filamentous hemagglutinin","FHA",,,124,387.5,327.9,457.9,,,,64,28.4,22.2,36.3,,,2.613326704,2.316126741,2.910526666,
58,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - RCTs","Munoz 2014",0,1,"RCT","Anti-FHA Ab (infant blood, birth)","Infant",9.330677291,3.77134041,23.08503854,,,,"ROM",3,3,5,"Unclear","Unclear","Anti-filamentous hemagglutinin","FHA",,,31,234.2,184.6,297.3,,,,14,25.1,10.5,60.3,,,2.233307605,1.327430485,3.139184725,
58,"Immunogenicity","Anti-FHA Ab (infant blood, birth) - RCTs","Hoang 2016",0,1,"RCT","Anti-FHA Ab (infant blood, birth)","Infant",3.406593407,2.160415339,5.371596114,,,,"ROM",1,1,1,"Unclear","Unclear","Anti-filamentous hemagglutinin","FHA",,,50,93,65,133,,,,47,27.3,20.9,36.7,,,1.225712791,0.77030049,1.681125092,
59,"Immunogenicity","Anti-FIM Ab (infant blood, birth) - RCTs","Haidara 2024",0,1,"RCT","Anti-FIM Ab (infant blood, birth)","Infant",1.572368421,0.923820312,2.676215732,,,,"ROM",1,1,1,"Low","Low","Anti-fimbriae","FIM",,,124,23.9,17.8,32,,,,64,15.2,9.8,23.8,,,0.452583031,-0.079237694,0.984403756,
59,"Immunogenicity","Anti-FIM Ab (infant blood, birth) - RCTs","Munoz 2014",0,1,"RCT","Anti-FIM Ab (infant blood, birth)","Infant",36.04247104,14.23884733,91.23348883,,,,"ROM",2,2,2,"Unclear","Unclear","Anti-fimbriae","FIM",,,31,1867,1211.7,2876.8,,,,14,51.8,22.8,118,,,3.584697994,2.655973957,4.513422032,
60,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - RCTs","Perrett 2020",0,1,"RCT","Anti-PRN Ab (infant blood, birth)","Infant",20.67123288,15.85918347,26.9433713,,,,"ROM",4,4,3,"Some concerns","Some concerns","Anti-pertactin","PRN",,,291,301.8,250.9,362.9,,,,292,14.6,12.1,17.7,,,3.028743018,2.763748731,3.293737304,
60,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - RCTs","Haidara 2024",0,1,"RCT","Anti-PRN Ab (infant blood, birth)","Infant",46.125,27.37802772,77.70887102,,,,"ROM",5,5,5,"Low","Low","Anti-pertactin","PRN",,,124,184.5,130.6,260.6,,,,64,4,2.7,5.9,,,3.831355102,3.309740784,4.352969421,
60,"Immunogenicity","Anti-PRN Ab (infant blood, birth) - RCTs","VillarrealPerez 2017",0,1,"RCT","Anti-PRN Ab (infant blood, birth)","Infant",15.80049566,10.79353798,23.13010466,,,,"ROM",3,3,2,"Some concerns","Some concerns","Anti-pertactin","PRN",,,90,127.51,104.15,156.12,,,,81,8.07,5.84,11.14,,,2.760041311,2.37894762,3.141135001,
